epoch,categorical_accuracy,loss,mean_io_u,val_categorical_accuracy,val_loss,val_mean_io_u
0,0.440836101770401,173287.90625,0.07181490957736969,0.22401931881904602,416843.40625,0.036989036947488785
1,0.6772881746292114,139222.328125,0.12354529649019241,0.6593188047409058,151858.90625,0.127290740609169
2,0.7503012418746948,125618.8125,0.15131506323814392,0.7237735390663147,133351.578125,0.14246487617492676
3,0.7804325819015503,117924.6640625,0.16773144900798798,0.7728166580200195,119606.3046875,0.1690143346786499
4,0.7965543270111084,113272.4765625,0.18078970909118652,0.7389116287231445,124291.1015625,0.1428193598985672
5,0.8120462894439697,108874.84375,0.1953555941581726,0.8175622224807739,105823.8828125,0.1994674950838089
6,0.8215999007225037,105464.828125,0.21037733554840088,0.8168122172355652,103471.8203125,0.19848769903182983
7,0.8334476947784424,102282.84375,0.2275993824005127,0.8157746195793152,104207.078125,0.2154679149389267
8,0.8372536897659302,100570.1875,0.23532064259052277,0.8143655061721802,102929.375,0.22100329399108887
9,0.8448826670646667,98058.1328125,0.24855969846248627,0.8447787165641785,94930.296875,0.24460285902023315
10,0.8524879217147827,96165.265625,0.25956836342811584,0.8448012471199036,94458.5234375,0.2518354058265686
11,0.8567520976066589,94679.0546875,0.26726120710372925,0.8430446982383728,94887.015625,0.2583272457122803
12,0.8627551794052124,92978.5625,0.27861252427101135,0.8469468355178833,93112.7734375,0.2656960189342499
13,0.8679710030555725,91641.234375,0.2881147861480713,0.8517584204673767,92201.0078125,0.2921488881111145
14,0.8710907101631165,90457.859375,0.2974697947502136,0.8545041680335999,90786.078125,0.2786742150783539
15,0.8750600814819336,89235.59375,0.30416691303253174,0.856420636177063,90329.046875,0.3020378351211548
16,0.8773362040519714,89035.7890625,0.31118184328079224,0.8560978770256042,90429.703125,0.29536187648773193
17,0.8783307671546936,88445.078125,0.312466561794281,0.8565177917480469,90402.0546875,0.28732478618621826
18,0.878270149230957,88483.3203125,0.31396549940109253,0.8575650453567505,90003.5,0.2891988754272461
19,0.8805492520332336,87989.3359375,0.3180621862411499,0.8577260971069336,89918.6875,0.2891661822795868
